Ref,Val,Package,PosX,PosY,Rot,Side
C1,0.22u,C_0805_2012Metric,126.425000,-78.718750,0.000000,top
C2,0.22u,C_0805_2012Metric,140.725000,-78.718750,0.000000,top
U1,LINE,TSSOP-24_4.4x7.8mm_P0.65mm,126.425000,-84.730000,90.000000,top
U2,FRAME,TSSOP-24_4.4x7.8mm_P0.65mm,140.725000,-84.730000,90.000000,top
U3,4014,TSSOP-16_4.4x5.0mm_P0.65mm,147.882500,-79.000000,90.000000,top
U4,4040,TSSOP-16_4.4x5.0mm_P0.65mm,133.582500,-79.005000,90.000000,top
U5,74LVC1G17,SOT-23-5,147.875000,-86.161250,90.000000,top
U6,74LVC2G07,SOT-23-6,133.575000,-86.168750,90.000000,top
